Ticker,Assets YoY Difference,Assets YoY % Change,Debt YoY Difference,Debt YoY % Change,Shares YoY Difference,Shares YoY % Change,Assets Change,Debt Change,Shares Change,Revenue YoY Difference,Revenue YoY % Change,Gross Profit YoY Difference,Gross Profit YoY % Change,Net Income YoY Difference,Net Income YoY % Change,Operating Expenses YoY Difference,Operating Expenses YoY % Change,Total Expenses YoY Difference,Total Expenses YoY % Change,Cost of Revenue YoY Difference,Cost of Revenue YoY % Change,Revenue Change,Gross Profit Change,Net Income Change,Operating Expenses Change,Total Expenses Change,Cost of Revenue Change,Operating Cash Flow YoY Difference,Operating Cash Flow YoY % Change,Operating Cash Flow Change,Free Cash Flow YoY Difference,Free Cash Flow YoY % Change,Free Cash Flow Change
AMZN,65179000000.0,14.087426379207857,-8836000000.0,-13.15860014892033,141000000.0,1.3766842413591052,Increase,Decrease,Increase,60802000000.0,11.82957412988368,26165000000.0,38.68273211117681,33147000000.0,-1217.7443056576046,1561000000.0,2.8180964760254223,36198000000.0,7.214565457861211,34637000000.0,7.760175470434172,Increase,Increase,Increase,Increase,Increase,Increase,38194000000.0,81.69490075290898,Increase,49110000000.0,-290.71212928431896,Increase
AME,2592413000.0,20.85421908886729,-263496000.0,-12.204946158463825,879438.0,0.38228014979204694,Increase,Decrease,Increase,446420000.0,7.258236282076513,239196000.0,11.149930381691053,153646000.0,13.25057652072974,32429000.0,5.031051371674766,239653000.0,5.154007515960779,207224000.0,5.173795165908035,Increase,Increase,Increase,Increase,Increase,Increase,585923000.0,50.97761997193253,Increase,588679000.0,58.26382070691074,Increase
BKR,2764000000.0,8.08636376934555,-107000000.0,-1.7892976588628762,-8000000.0,-0.7952286282306154,Increase,Decrease,Decrease,4350000000.0,20.561542824730573,851000000.0,19.340909090909086,2544000000.0,-423.2945091514143,101000000.0,4.0239043824701115,3600000000.0,18.685767673621932,3499000000.0,20.88207209357842,Increase,Increase,Increase,Increase,Increase,Increase,1174000000.0,62.18220338983051,Increase,939000000.0,104.44938820912127,Increase
BSX,2667000000.0,8.21398872770951,-344000000.0,-3.8608305274971944,32366231.0,2.25809210669361,Increase,Decrease,Increase,1558000000.0,12.285128528623247,1169000000.0,13.396745358698148,895000000.0,128.22349570200572,785000000.0,11.728671746600927,1174000000.0,11.02450934360033,389000000.0,9.833164812942364,Increase,Increase,Increase,Increase,Increase,Increase,977000000.0,64.02359108781128,Increase,789000000.0,86.3238512035011,Increase
BRO,909900000.0,6.5116112641786295,-464600000.0,-12.585669781931463,1400000.0,0.4943502824858781,Increase,Decrease,Increase,636200000.0,17.854737314773228,266500000.0,15.26083719864857,198700000.0,29.57725513545697,73300000.0,9.36621518016867,443000000.0,17.0417387959223,369700000.0,20.347845230887774,Increase,Increase,Increase,Increase,Increase,Increase,128100000.0,14.533696392103469,Increase,111800000.0,13.48938223938223,Increase
CDNS,532420000.0,10.364271780553548,-348307000.0,-53.744610988183524,-969000.0,-0.3553681122215102,Increase,Decrease,Decrease,528268000.0,14.83183115563893,464850000.0,14.571666361033131,192192000.0,22.638735758912155,276353000.0,13.057976123087167,339771000.0,13.656516921177332,63418000.0,17.065143976556897,Increase,Increase,Increase,Increase,Increase,Increase,107282000.0,8.638579460082752,Increase,128994000.0,11.541238584602564,Increase
CHD,223600000.0,2.6792561349693322,-397300000.0,-15.283708405462592,-743113.0,-0.30468452857317363,Increase,Decrease,Decrease,492300000.0,9.15804747377036,338500000.0,15.044444444444437,341700000.0,82.55617298864459,-121100000.0,-7.3296211112456096,32700000.0,0.6844154213236253,153800000.0,4.920655234195026,Increase,Increase,Increase,Decrease,Increase,Increase,145400000.0,16.42566651604158,Increase,100700000.0,14.255379388448475,Increase
STZ,1029400000.0,4.173982150894284,-605400000.0,-5.363930359278779,-310585.0,-0.16953422049755806,Increase,Decrease,Decrease,509200000.0,5.3868776844466115,248500000.0,5.210736003354999,1798400000.0,-2532.957746478873,-78300000.0,-4.065209490680655,182400000.0,2.7595806163668524,260700000.0,5.566231104278763,Increase,Increase,Increase,Decrease,Increase,Increase,23100000.0,0.8378976386521186,Increase,-210600000.0,-12.233517281440609,Decrease
CPAY,1386992000.0,9.844321135389645,-126682000.0,-2.6823278715043752,-1640905.0,-2.236884699939301,Increase,Decrease,Decrease,330590000.0,9.646266598076704,275389000.0,10.343551848655096,27563000.0,2.8882133692120115,65157000.0,5.359271118729447,120358000.0,6.077189056434573,55201000.0,7.218581757457421,Increase,Increase,Increase,Increase,Increase,Increase,1346335000.0,178.37047577030646,Increase,1343941000.0,222.7394844614158,Increase
DAY,547400000.0,6.467773379807418,-3300000.0,-0.2719630789517091,2443355.0,1.588072455369094,Increase,Decrease,Increase,267500000.0,21.465254373294805,173300000.0,36.62299239222315,128200000.0,-174.65940054495914,14400000.0,2.8857715430861797,108600000.0,8.537735849056594,94200000.0,12.186287192755497,Increase,Increase,Increase,Increase,Increase,Increase,86900000.0,65.53544494720964,Increase,67000000.0,175.8530183727034,Increase
EQIX,2339982000.0,7.719975974194226,-26638000.0,-0.2088886766387077,1858574.0,2.006650716093139,Increase,Decrease,Increase,925031000.0,12.736026809470612,448874000.0,12.782591658968379,264833000.0,37.59989777736763,224577000.0,9.827192605133494,700734000.0,11.607779137226215,476157000.0,12.692439639493625,Increase,Increase,Increase,Increase,Increase,Increase,253413000.0,8.552056539220331,Increase,-249601000.0,-36.42863606245385,Decrease
GEV,2723000000.0,6.123091452856921,,0.0,616220.0,0.22482763527791327,Increase,No Change,Increase,3585000000.0,12.089431442638432,1345000000.0,38.89531521110467,2196000000.0,-80.26315789473684,-515000000.0,-8.124309828048592,1725000000.0,5.30198248040572,2240000000.0,8.550923805161093,Increase,Increase,Increase,Decrease,Increase,Increase,1300000000.0,-1140.3508771929826,Increase,1069000000.0,-170.49441786283893,Increase
HAL,1428000000.0,6.140614921522247,-292000000.0,-3.6831483350151406,-12948258.0,-1.4355053215077573,Increase,Decrease,Decrease,2721000000.0,13.405922057446906,1047000000.0,31.602776939329914,1066000000.0,67.81170483460559,-65000000.0,-27.083333333333336,1609000000.0,9.34161634928008,1674000000.0,9.856335374470081,Increase,Increase,Increase,Decrease,Increase,Increase,1216000000.0,54.23728813559323,Increase,848000000.0,68.88708367181154,Increase
HWM,173000000.0,1.6869819600195068,-662000000.0,-15.905814512253723,-2240596.0,-0.5436293846080353,Increase,Decrease,Decrease,977000000.0,17.25233974924951,307000000.0,19.679487179487175,296000000.0,63.113006396588474,74000000.0,12.824956672443676,744000000.0,15.897435897435908,670000000.0,16.32951498903241,Increase,Increase,Increase,Increase,Increase,Increase,168000000.0,22.919508867667115,Increase,142000000.0,26.296296296296305,Increase
HII,358000000.0,3.297411808050099,-292000000.0,-11.65203511572227,-281120.0,-0.7045614035087744,Increase,Decrease,Decrease,778000000.0,7.2873735481453705,206000000.0,14.30555555555555,102000000.0,17.616580310880824,-21000000.0,-2.275189599133265,551000000.0,5.42376218131706,572000000.0,6.193157210913824,Increase,Increase,Increase,Decrease,Increase,Increase,204000000.0,26.631853785900784,Increase,196000000.0,40.66390041493777,Increase
IDXX,513160000.0,18.682340862796785,-71504000.0,-10.297427803227887,138000.0,0.16647767027770932,Increase,Decrease,Increase,293629000.0,8.719950916514119,185632000.0,9.261511780947117,165953000.0,24.437592127099684,-12731000.0,-1.1515295688299232,95266000.0,3.859174522464315,107997000.0,7.923559009410219,Increase,Increase,Increase,Decrease,Increase,Increase,363526000.0,66.94967070852917,Increase,388733000.0,101.19407725187818,Increase
IR,797600000.0,5.401634847858916,-23100000.0,-0.8504841500681093,-1770316.0,-0.43698805465700596,Increase,Decrease,Decrease,959800000.0,16.222977198586964,556600000.0,23.933608531131757,174000000.0,28.774598974698208,194500000.0,13.449038860461894,597700000.0,11.866425777760137,403200000.0,11.229008271367702,Increase,Increase,Increase,Increase,Increase,Increase,517100000.0,60.10693943973033,Increase,506300000.0,66.1225022854904,Increase
PODD,337100000.0,14.974901159433163,-7900000.0,-0.5748380993960578,396003.0,0.569695977139606,Increase,Decrease,Increase,391800000.0,30.016088255573425,354300000.0,43.97964250248263,201700000.0,4384.782608695652,171900000.0,22.382812500000004,209400000.0,16.518103652283656,37500000.0,7.504502701620974,Increase,Increase,Increase,Increase,Increase,Increase,26700000.0,22.436974789915975,Increase,74800000.0,-195.30026109660574,Increase
TAP,506800000.0,1.959154641008487,-853100000.0,-13.837345098293651,-3000000.0,-1.386962552011095,Increase,Decrease,Decrease,1001100000.0,9.3552004485562,713600000.0,19.52287152549792,1124200000.0,-641.3006274957216,187500000.0,7.261250096816663,475000000.0,4.933527212297473,287500000.0,4.080445087853768,Increase,Increase,Increase,Increase,Increase,Increase,577000000.0,38.41544607190413,Increase,566900000.0,67.43992386390674,Increase
MDLZ,230000000.0,0.3232107474599788,-3364000000.0,-16.611525356772503,-17408386.0,-1.2745076173866,Increase,Decrease,Decrease,4520000000.0,14.3510287020574,2452000000.0,21.676096181046667,2242000000.0,82.51748251748252,637000000.0,8.475252794039378,2705000000.0,9.765342960288814,2068000000.0,10.245739199365843,Increase,Increase,Increase,Increase,Increase,Increase,806000000.0,20.624360286591603,Increase,600000000.0,19.98667554963358,Increase
MSI,522000000.0,4.0736694240674165,-1308000000.0,-21.752868784300684,-1300000.0,-0.776119402985076,Increase,Decrease,Decrease,866000000.0,9.503950834064966,741000000.0,17.52187278316386,346000000.0,25.385179750550257,149000000.0,6.305543800253921,274000000.0,3.7813966326248893,125000000.0,2.559901699774736,Increase,Increase,Increase,Increase,Increase,Increase,221000000.0,12.122874382885351,Increase,224000000.0,14.294830887045308,Increase
MSCI,520684000.0,10.418816476522919,-6407000.0,-0.14227556069161817,-868777.0,-1.0865146567241246,Increase,Decrease,Decrease,280322000.0,12.466523584918242,238082000.0,12.909372175352996,278019000.0,31.935173730405154,61113000.0,9.599649396733035,103353000.0,9.928642654170483,42240000.0,10.446627969956058,Increase,Increase,Increase,Increase,Increase,Increase,140660000.0,12.841334746555733,Increase,122704000.0,12.000696350225049,Increase
NFLX,137224000.0,0.2823843093560985,-209659000.0,-1.4607252131877524,-12587192.0,-2.8263799534051226,Increase,Decrease,Decrease,2107747000.0,6.66680478435453,1560664000.0,12.538208192723467,916066000.0,20.393621975794773,239492000.0,3.514481173344697,786575000.0,3.027300568504776,547083000.0,2.854105101212756,Increase,Increase,Increase,Increase,Increase,Increase,5248044000.0,259.0018936393557,Increase,5307221000.0,327.90418207161076,Increase
NCLH,935296000.0,5.039936535218215,-316255000.0,-2.503918719293341,4133005.0,0.9807479737867553,Increase,Decrease,Increase,3706164000.0,76.51419558359622,2504663000.0,434.3291010172125,2436087000.0,-107.32091022151108,21995000.0,1.0333903236703579,1223496000.0,19.130525335168368,1201501000.0,28.15741234181828,Increase,Increase,Increase,Increase,Increase,Increase,1795694000.0,855.0109513379678,Increase,829189000.0,-52.68582451677016,Increase
NVDA,24546000000.0,59.603710358894666,-1244000000.0,-12.820777079253842,-21365720.0,-0.08663640222760227,Increase,Decrease,Decrease,33948000000.0,125.85452658115224,28945000000.0,188.49309716071895,25392000000.0,581.3186813186813,1550000000.0,15.850291440842623,6553000000.0,30.62578866196195,5003000000.0,43.06248924083318,Increase,Increase,Increase,Increase,Increase,Increase,22449000000.0,397.9613543697926,Increase,23213000000.0,609.5850840336135,Increase
ORCL,6592000000.0,4.90534587450886,-10156000000.0,-11.751909280259198,42000000.0,1.548101732399565,Increase,Decrease,Increase,3007000000.0,6.01953797493695,1428000000.0,3.9241549876339654,1964000000.0,23.097730212866054,-870000000.0,-3.8466640137949315,709000000.0,1.9595920510765419,1579000000.0,11.641108817457969,Increase,Increase,Increase,Decrease,Increase,Increase,1508000000.0,8.785318963006116,Increase,3337000000.0,39.3978748524203,Increase
PANW,5489800000.0,37.85781768279648,,0.0,16800000.0,5.449237755433023,Increase,No Change,Increase,1134800000.0,16.463795029523997,985300000.0,19.773228978527,2137900000.0,486.2178758244258,688700000.0,14.985747546619677,838200000.0,12.884680419343919,149500000.0,7.828454731109602,Increase,Increase,Increase,Increase,Increase,Increase,480100000.0,17.285328532853296,Increase,469600000.0,17.84737002128307,Increase
PWR,2772888000.0,20.59431518982331,-28928000.0,-0.78344029084354,2577951.0,1.8036382944399243,Increase,Decrease,Increase,3808303000.0,22.304818060639086,407931000.0,16.129141946618542,253500000.0,51.60946193827631,153467000.0,9.0772137194177,3553839000.0,21.889402142178916,3400372000.0,23.3786931200183,Increase,Increase,Increase,Increase,Increase,Increase,445640000.0,39.42628230081606,Increase,438467000.0,62.39906529553909,Increase
RMD,120686000.0,1.7874884399621482,-733921000.0,-51.27889639290291,-163304.0,-0.1110425477761412,Increase,Decrease,Decrease,462304000.0,10.947306803492207,299641000.0,12.720033689043664,123395000.0,13.747888711122203,67517000.0,5.609284975470752,230180000.0,7.495288173608827,162663000.0,8.710989106912482,Increase,Increase,Increase,Increase,Increase,Increase,707961000.0,102.1148162625361,Increase,727105000.0,130.002914362443,Increase
ROK,545300000.0,5.068456226123974,-4900000.0,-0.17086268219541623,-400000.0,-0.347222222222221,Increase,Decrease,Decrease,1297600000.0,16.72078758826865,615000000.0,19.825918762088968,358900000.0,39.04906974213904,257000000.0,14.54689534159732,939600000.0,14.623896904328326,682600000.0,14.65309977674738,Increase,Increase,Increase,Increase,Increase,Increase,551500000.0,67.0027943141781,Increase,532100000.0,78.02052785923755,Increase
RCL,1355000000.0,4.011724301279007,-1571000000.0,-7.374548185701546,1185544.0,0.4644843909006102,Increase,Decrease,Increase,5060000000.0,57.23981900452488,3901000000.0,175.4046762589928,3853000000.0,-178.71057513914656,257000000.0,8.595317725752505,1416000000.0,14.740787008119916,1159000000.0,17.51813784764209,Increase,Increase,Increase,Increase,Increase,Increase,3996000000.0,830.7692307692308,Increase,2809000000.0,-126.02063705697621,Increase
CRM,974000000.0,0.9853412781110515,-992000000.0,-10.531903599108183,-10000000.0,-1.0193679918450549,Increase,Decrease,Decrease,3505000000.0,11.179510079101806,3324000000.0,14.457202505219202,3928000000.0,1888.4615384615383,-817000000.0,-3.8658086495694133,-636000000.0,-2.156370787278772,181000000.0,2.1650717703349365,Increase,Increase,Increase,Decrease,Decrease,Increase,3123000000.0,43.917873716776825,Increase,3185000000.0,50.45144939014732,Increase
SYK,3028000000.0,8.20952174384557,-956000000.0,-8.062747743948718,1400000.0,0.3696857670979714,Increase,Decrease,Increase,2049000000.0,11.106293024012137,1480000000.0,12.782864052513387,807000000.0,34.223918575063614,616000000.0,7.216494845360821,1185000000.0,7.6913091451937365,569000000.0,8.28118177848931,Increase,Increase,Increase,Increase,Increase,Increase,1087000000.0,41.425304878048784,Increase,1100000000.0,54.027504911591365,Increase
TDG,1863000000.0,10.288838570718518,-39000000.0,-0.20135267695802206,945828.0,1.7399002955167608,Increase,Decrease,Increase,1156000000.0,21.293055811383322,743000000.0,23.9754759599871,432000000.0,49.884526558891466,45000000.0,5.208333333333326,458000000.0,14.339386349405125,413000000.0,17.725321888412026,Increase,Increase,Increase,Increase,Increase,Increase,427000000.0,45.04219409282702,Increase,407000000.0,49.095295536791305,Increase
GWW,559000000.0,7.366895097522397,-18000000.0,-0.7880910683012221,-938921.0,-1.8682644171958196,Increase,Decrease,Decrease,1250000000.0,8.20856317310219,647000000.0,11.061719952128568,282000000.0,18.22882999353588,297000000.0,8.172812328013212,900000000.0,6.916160762314605,603000000.0,6.429256850410492,Increase,Increase,Increase,Increase,Increase,Increase,698000000.0,52.36309077269317,Increase,509000000.0,47.26090993500465,Increase
WAB,472000000.0,2.5491466839490107,-463000000.0,-12.343375099973342,-3400000.0,-1.8763796909492259,Increase,Decrease,Decrease,1315000000.0,15.725902894044497,404000000.0,15.90551181102362,182000000.0,28.751974723538698,149000000.0,9.74493132766514,1060000000.0,14.419806829002857,911000000.0,15.647543799381648,Increase,Increase,Increase,Increase,Increase,Increase,163000000.0,15.703275529865124,Increase,126000000.0,14.173228346456689,Increase
WYNN,581123000.0,4.331857384589011,-540572000.0,-4.672462918291798,-1632194.0,-1.4397125137048605,Increase,Decrease,Decrease,2775072000.0,73.86748118424467,1456731000.0,106.5950389396189,1153850000.0,-272.2268883771847,232855000.0,15.365169818267965,1551196000.0,39.71626048628989,1318341000.0,55.155588058347725,Increase,Increase,Increase,Increase,Increase,Increase,1319151000.0,-1850.8685037602427,Increase,1164479000.0,-274.78644378162045,Increase
ZBH,430900000.0,2.0454761226621043,-311600000.0,-5.852522444686525,-3400000.0,-1.6267942583732098,Increase,Decrease,Decrease,454300000.0,6.546203835790143,390000000.0,7.926184863019259,792600000.0,342.52376836646505,130800000.0,3.508301370597855,195100000.0,3.394342183096133,64300000.0,3.183956424857648,Increase,Increase,Increase,Increase,Increase,Increase,296900000.0,23.11045380244414,Increase,107300000.0,9.783005105762221,Increase
